stco,id_00,nm_00,geoid,name
34021,3402177210,"Washington township, Mercer County, New Jersey",3402163850,"Robbinsville township, Mercer County, New Jersey"
34021,3402180240,"West Windsor township, Mercer County, New Jersey",3402180240,"West Windsor township, Mercer County, New Jersey"
34023,3402310750,"Carteret borough, Middlesex County, New Jersey",3402310750,"Carteret borough, Middlesex County, New Jersey"
34023,3402315550,"Cranbury township, Middlesex County, New Jersey",3402315550,"Cranbury township, Middlesex County, New Jersey"
34023,3402318490,"Dunellen borough, Middlesex County, New Jersey",3402318490,"Dunellen borough, Middlesex County, New Jersey"
34023,3402319000,"East Brunswick township, Middlesex County, New Jersey",3402319000,"East Brunswick township, Middlesex County, New Jersey"
34023,3402320230,"Edison township, Middlesex County, New Jersey",3402320230,"Edison township, Middlesex County, New Jersey"
34023,3402330840,"Helmetta borough, Middlesex County, New Jersey",3402330840,"Helmetta borough, Middlesex County, New Jersey"
34023,3402331470,"Highland Park borough, Middlesex County, New Jersey",3402331470,"Highland Park borough, Middlesex County, New Jersey"
34023,3402334890,"Jamesburg borough, Middlesex County, New Jersey",3402334890,"Jamesburg borough, Middlesex County, New Jersey"
34023,3402345690,"Metuchen borough, Middlesex County, New Jersey",3402345690,"Metuchen borough, Middlesex County, New Jersey"
34023,3402345900,"Middlesex borough, Middlesex County, New Jersey",3402345900,"Middlesex borough, Middlesex County, New Jersey"
34023,3402346620,"Milltown borough, Middlesex County, New Jersey",3402346620,"Milltown borough, Middlesex County, New Jersey"
34023,3402347280,"Monroe township, Middlesex County, New Jersey",3402347280,"Monroe township, Middlesex County, New Jersey"
34023,3402351210,"New Brunswick city, Middlesex County, New Jersey",3402351210,"New Brunswick city, Middlesex County, New Jersey"
34023,3402352560,"North Brunswick township, Middlesex County, New Jersey",3402352560,"North Brunswick township, Middlesex County, New Jersey"
34023,3402354705,"Old Bridge township, Middlesex County, New Jersey",3402354705,"Old Bridge township, Middlesex County, New Jersey"
34023,3402358200,"Perth Amboy city, Middlesex County, New Jersey",3402358200,"Perth Amboy city, Middlesex County, New Jersey"
34023,3402359010,"Piscataway township, Middlesex County, New Jersey",3402359010,"Piscataway township, Middlesex County, New Jersey"
34023,3402359280,"Plainsboro township, Middlesex County, New Jersey",3402359280,"Plainsboro township, Middlesex County, New Jersey"
34023,3402365790,"Sayreville borough, Middlesex County, New Jersey",3402365790,"Sayreville borough, Middlesex County, New Jersey"
34023,3402368550,"South Amboy city, Middlesex County, New Jersey",3402368550,"South Amboy city, Middlesex County, New Jersey"
34023,3402368790,"South Brunswick township, Middlesex County, New Jersey",3402368790,"South Brunswick township, Middlesex County, New Jersey"
34023,3402369390,"South Plainfield borough, Middlesex County, New Jersey",3402369390,"South Plainfield borough, Middlesex County, New Jersey"
34023,3402369420,"South River borough, Middlesex County, New Jersey",3402369420,"South River borough, Middlesex County, New Jersey"
34023,3402369810,"Spotswood borough, Middlesex County, New Jersey",3402369810,"Spotswood borough, Middlesex County, New Jersey"
34023,3402382000,"Woodbridge township, Middlesex County, New Jersey",3402382000,"Woodbridge township, Middlesex County, New Jersey"
34025,3402500000,"County subdivisions not defined, Monmouth County, New Jersey",3402500000,"County subdivisions not defined, Monmouth County, New Jersey"
34025,3402500070,"Aberdeen township, Monmouth County, New Jersey",3402500070,"Aberdeen township, Monmouth County, New Jersey"
34025,3402500730,"Allenhurst borough, Monmouth County, New Jersey",3402500730,"Allenhurst borough, Monmouth County, New Jersey"
34025,3402500760,"Allentown borough, Monmouth County, New Jersey",3402500760,"Allentown borough, Monmouth County, New Jersey"
34025,3402501960,"Asbury Park city, Monmouth County, New Jersey",3402501960,"Asbury Park city, Monmouth County, New Jersey"
34025,3402502110,"Atlantic Highlands borough, Monmouth County, New Jersey",3402502110,"Atlantic Highlands borough, Monmouth County, New Jersey"
