,STATE,COUNTY,GEOCODE,SUMLEV,POP100,HU100,P0010001,H0010001,NAME
24348,36,,3632094,160,562,188,562,188,Harbor Hills CDP
24349,36,,3632105,160,1436,497,1436,497,Harbor Isle CDP
24357,36,,3632732,160,20083,7384,20083,7384,Hauppauge CDP
24361,36,,3632963,160,1520,537,1520,537,Head of the Harbor village
24363,36,,3633139,160,59169,16954,59169,16954,Hempstead village
24368,36,,3634198,160,4398,1380,4398,1380,Herricks CDP
24371,36,,3634286,160,7262,2698,7262,2698,Hewlett CDP
24372,36,,3634297,160,494,144,494,144,Hewlett Bay Park village
24373,36,,3634308,160,1290,442,1290,442,Hewlett Harbor village
24374,36,,3634319,160,569,161,569,161,Hewlett Neck village
24375,36,,3634374,160,43869,13889,43869,13889,Hicksville CDP
24386,36,,3635056,160,26487,9714,26487,9714,Holbrook CDP
24390,36,,3635254,160,18937,6646,18937,6646,Holtsville CDP
24405,36,,3636233,160,19645,8341,19645,8341,Huntington CDP
24406,36,,3637022,160,1446,593,1446,593,Huntington Bay village
24407,36,,3637044,160,34878,10943,34878,10943,Huntington Station CDP
24413,36,,3637583,160,11340,3355,11340,3355,Inwood CDP
24416,36,,3637840,160,3567,1087,3567,1087,Islandia village
24417,36,,3637847,160,4928,1851,4928,1851,Island Park village
24418,36,,3637869,160,18418,6605,18418,6605,Islip CDP
24419,36,,3638022,160,5323,1774,5323,1774,Islip Terrace CDP
24422,36,,3638253,160,1609,1126,1609,1126,Jamesport CDP
24429,36,,3638539,160,14808,4818,14808,4818,Jericho CDP
24439,36,,3639309,160,1226,457,1226,457,Kensington village
24444,36,,3639672,160,17085,6564,17085,6564,Kings Park CDP
24445,36,,3639694,160,5619,1416,5619,1416,Kings Point village
24456,36,,3640530,160,11072,4078,11072,4078,Lake Grove village
24463,36,,3640838,160,18619,7223,18619,7223,Lake Ronkonkoma CDP
24464,36,,3640937,160,2828,858,2828,858,Lake Success village
24465,36,,3641003,160,6077,1625,6077,1625,Lakeview CDP
24472,36,,3641432,160,1881,708,1881,708,Lattingtown village
24473,36,,3641465,160,1495,800,1495,800,Laurel CDP
24474,36,,3641487,160,1940,630,1940,630,Laurel Hollow village
24476,36,,3641553,160,6809,2432,6809,2432,Lawrence village
24480,36,,3642081,160,51758,17123,51758,17123,Levittown CDP
24483,36,,3642279,160,2719,1302,2719,1302,Lido Beach CDP
24489,36,,3642554,160,27148,9712,27148,9712,Lindenhurst village
24498,36,,3643005,160,3571,1246,3571,1246,Lloyd Harbor village
24501,36,,3643192,160,3571,1339,3571,1339,Locust Valley CDP
24503,36,,3643335,160,35029,16771,35029,16771,Long Beach city
24509,36,,3643874,160,20438,7798,20438,7798,Lynbrook village
24525,36,,3644787,160,8560,3159,8560,3159,Malverne village
24526,36,,3644792,160,538,194,538,194,Malverne Park Oaks CDP
24529,36,,3644897,160,8176,2947,8176,2947,Manhasset CDP
24530,36,,3644908,160,3649,1154,3649,1154,Manhasset Hills CDP
24533,36,,3645106,160,6956,2699,6956,2699,Manorhaven village
24534,36,,3645139,160,14317,5364,14317,5364,Manorville CDP
24543,36,,3645986,160,21355,7375,21355,7375,Massapequa CDP
24544,36,,3645997,160,17109,5913,17109,5913,Massapequa Park village
24546,36,,3646074,160,15404,4792,15404,4792,Mastic CDP
24547,36,,3646085,160,14199,5198,14199,5198,Mastic Beach CDP
24548,36,,3646107,160,847,323,847,323,Matinecock village
24549,36,,3646140,160,4322,2527,4322,2527,Mattituck CDP
24556,36,,3646404,160,24247,8416,24247,8416,Medford CDP
24559,36,,3646514,160,19284,7777,19284,7777,Melville CDP
24562,36,,3646668,160,22040,7672,22040,7672,Merrick CDP
24566,36,,3646976,160,10546,4588,10546,4588,Middle Island CDP
24572,36,,3647306,160,11723,4157,11723,4157,Miller Place CDP
24574,36,,3647405,160,1054,414,1054,414,Mill Neck village
24579,36,,3647636,160,20800,8776,20800,8776,Mineola village
24587,36,,3648054,160,4318,4487,4318,4487,Montauk CDP
24595,36,,3648450,160,3026,1460,3026,1460,Moriches CDP
24605,36,,3649066,160,11623,4339,11623,4339,Mount Sinai CDP
24609,36,,3649231,160,2809,842,2809,842,Munsey Park village
24611,36,,3649330,160,3512,1141,3512,1141,Muttontown village
24615,36,,3649424,160,368,480,368,480,Napeague CDP
